action,tick,distance_cells,heading_change_radians
STRAIGHT,pre-pulse,2.1874547588585833,-7.063559140707554e-06
RIGHT,1,2.405712224024496,-0.7338675534692358
RIGHT,2,2.6239025998404557,-0.9260708124426893
RIGHT,3,2.4057153748930724,-0.8561717244643878
RIGHT,4,2.4057356740729485,-0.8387152159323525
RIGHT,5,2.405732103385294,-0.873638247612206
RIGHT,steady,2.4057139242725287,-0.8736602226267989
RIGHT,steady,2.405717973327911,-0.8910295101813039
RIGHT,steady,2.4057048665025222,-0.8561720206657917
RIGHT,steady,2.4057396573073655,-0.8736366612377218
RIGHT,steady,2.4057347140403302,-0.8736653261096379
RIGHT,steady,2.4057168804778666,-0.7488402737206812
STRAIGHT,pre-pulse,2.6249469524437,0.004984550409282473
LEFT,1,2.6241715505493723,0.732848360530233
LEFT,2,2.405721045152478,0.8724733837909151
LEFT,3,2.6242199144349247,0.8898864014495675
LEFT,4,2.4057497533313574,0.8375486467803688
LEFT,5,2.624189670583802,0.8899250418903035
LEFT,steady,2.4057079593872395,0.8375399606900604
LEFT,steady,2.6242029725197247,0.9073460132692457
LEFT,steady,2.4057359771756737,0.8375529971703699
STRAIGHT,pre-pulse,2.406222076427882,-1.5557208050687166e-06
RIGHT,1,2.4057169076733467,-0.6989252013341912
RIGHT,2,2.6241966506280456,-0.8736643594730651
RIGHT,3,2.405712031301225,-0.8736398747424757
RIGHT,4,2.6242097784084883,-0.8910305331463879
RIGHT,5,2.405714272307692,-0.8387198458175957
RIGHT,steady,2.624197161409052,-0.9085722222243033
RIGHT,steady,2.4057309631840806,-0.8561706590130731
RIGHT,steady,2.6241827435073453,-0.8911363832190631
STRAIGHT,pre-pulse,2.6249756016137575,4.788447336645518e-06
LEFT,1,2.4059896625337576,0.7154268320694736
LEFT,2,2.6242009959699173,0.8724485435816864
LEFT,3,2.405721484587189,0.8724601495127322
LEFT,4,2.6242208349987384,0.907354910745136
LEFT,5,2.405706401964327,0.8375421857754111
LEFT,steady,2.624204674513913,0.9073449904484443
LEFT,steady,2.405707432540412,0.8375614343076192
LEFT,steady,2.624195850351182,0.9073428790350677
STRAIGHT,pre-pulse,2.4063419829953645,-6.257695596145751e-07
RIGHT,1,2.405728174130791,-0.7338689330921166
RIGHT,2,2.405707132725318,-0.8736548556909187
RIGHT,3,2.405716817959902,-0.8736483494100233
RIGHT,4,2.4057279666758182,-0.87358474211094
RIGHT,5,2.4057244868265295,-0.8736254856860006
RIGHT,steady,2.4056864812705627,-0.8911170131634756
RIGHT,steady,2.4057422764597347,-0.8561700411603059
RIGHT,steady,2.624201021860558,-0.8736572774910574
RIGHT,steady,2.405707023331606,-0.7987680542585416
STRAIGHT,pre-pulse,2.1875069119518953,4.323705242281761e-06
LEFT,1,2.6244429220502266,0.7538499643471075
LEFT,2,2.405713268030729,0.8724322221308832
LEFT,3,2.624182368309679,0.8724441843133635
LEFT,4,2.4056899920210593,0.8724630129275419
LEFT,5,2.6241931359011637,0.8724432956320141
LEFT,steady,2.405713817234931,0.8724513063952362
LEFT,steady,2.6241844243688726,0.8724629152155581
LEFT,steady,2.4057081160651133,0.8724499695588941
LEFT,steady,2.6241862295337675,0.8724435330792275
STRAIGHT,pre-pulse,2.4061520093844546,-5.7510161268620186e-08
RIGHT,1,2.4057117551823617,-0.71639918955798
RIGHT,2,2.624183756086528,-0.8911221260882569
RIGHT,3,2.405716446282419,-0.8561716783699879
RIGHT,4,2.6242294976047496,-0.8561786224727995
RIGHT,5,2.405714646736203,-0.8735658375849122
RIGHT,steady,2.624208378042472,-0.8736457544256591
RIGHT,steady,2.405743388585014,-0.8736551212474519
RIGHT,steady,2.6242098455692853,-0.8736270497129994
RIGHT,steady,2.4057250396323866,-0.8736789588814027
RIGHT,steady,2.6241822747924672,-0.8736341355583326
RIGHT,steady,2.4056807142016647,-0.8736524316507799
RIGHT,steady,2.405731817837067,-0.8735718072611762
RIGHT,steady,2.404928795199653,-0.6989019184647551
STRAIGHT,pre-pulse,2.6250549210018703,-1.7830269598562154e-06
LEFT,1,2.4056915481126375,0.732839538741106
LEFT,2,2.4057151015931635,0.8375536372567451
LEFT,3,2.4057200234166216,0.8724591335702281
LEFT,4,2.6242118675173995,0.8724478517244123
LEFT,5,2.4057090671464367,0.8899055820303757
LEFT,steady,2.1872365687345474,0.8549947681514267
LEFT,steady,2.40570712136058,0.8724495726380677
LEFT,steady,2.405434720802168,0.8724524298907634
LEFT,steady,2.405719112739342,0.8525063495488778
STRAIGHT,pre-pulse,2.406199055895662,7.319899243185546e-06
RIGHT,1,2.1872355419095904,-0.733796840471237
RIGHT,2,2.4057244521715124,-0.873631498171842
RIGHT,3,2.1872495030816554,-0.8736437805911415
