action,duration_s,n_ticks,distance_cells,heading_change_radians,focused_all
RIGHT,1.039700000000039,53,13.636856103591862,-4.053630249506735,True
LEFT,0.9803999999999746,50,13.210317595970013,3.8736437497600456,True
STRAIGHT,1.0199099999999817,52,13.639974159561996,-1.5281960720203713e-06,True
RIGHT,1.0998599999999783,56,14.702020279756066,-4.3681699760673105,True
LEFT,0.9802099999999996,50,13.209882094392748,3.8736820754890986,True
STRAIGHT,0.8799099999999953,45,11.50855474799455,3.498879756036466e-06,True
RIGHT,0.9198100000000409,47,12.358150575187015,-3.5993284890428825,True
LEFT,0.9198700000000031,47,12.145280421323855,3.559611951963034,True
STRAIGHT,0.8998299999999517,46,11.93485854168122,1.5654144647214707e-14,True
RIGHT,0.9599099999999794,49,12.78414286065462,-3.739132961011983,True
LEFT,1.059660000000008,54,14.062386836992355,4.187773043175647,True
STRAIGHT,0.8603599999999574,44,11.508959584195797,0.0,True
RIGHT,1.0797999999999774,55,14.276016154276872,-4.263341053904777,True
LEFT,1.0600499999999897,54,13.850017444905678,4.117989315372347,True
STRAIGHT,1.0200100000000134,52,13.639912850256716,-2.628195034937164e-06,True
RIGHT,0.9400699999999915,48,12.358391881444298,-3.6226733942676477,True
LEFT,1.500249999999994,76,19.815451443633513,6.072270910437188,True
STRAIGHT,1.0402100000000019,53,13.640399184930653,-2.899351725815791e-06,True
RIGHT,0.8202099999999746,42,10.86678765648566,-3.1335562003384863,True
LEFT,0.8600100000000452,44,11.079931891190741,3.2455362491476243,True
STRAIGHT,0.9400599999999599,48,12.360988864233413,2.4202076316370835e-06,True
RIGHT,0.9999099999999999,51,13.423512368973377,-3.9838329655338054,True
LEFT,1.05962999999997,54,13.849432380574182,4.117977098486164,True
STRAIGHT,0.9800099999999929,50,13.00095590502059,-2.4954918727004838e-06,True
RIGHT,1.1399099999999862,58,15.34003746997386,-4.612901183196255,True
LEFT,1.1403700000000185,58,15.127503384257146,4.536769514486446,True
STRAIGHT,0.8203300000000127,42,10.869634027931768,3.074353524423756e-05,True
RIGHT,1.0196399999999812,52,13.423738172120357,-3.983838366543544,True
LEFT,1.0201700000000073,52,13.423484188690358,3.978385091119948,True
STRAIGHT,0.9999299999999494,51,13.21369560798026,-6.217248937900877e-15,True
RIGHT,1.0799799999999777,55,14.488867722290163,-4.298359812397816,True
LEFT,1.040140000000008,53,13.849207574491448,4.117955909772532,True
STRAIGHT,1.0600999999999772,54,14.066524958541333,3.115563655953224e-06,True
RIGHT,1.0401599999999576,53,13.849764219920495,-4.123640584512924,True
LEFT,0.9602600000000052,49,12.996735956867145,3.8038748163213123,True
STRAIGHT,1.159840000000031,59,15.369045527858715,2.4424906541753444e-14,True
RIGHT,1.1799899999999752,60,15.766300773356422,-4.70782398973084,True
LEFT,1.8204700000000003,92,24.076686623816855,7.50308214491989,True
STRAIGHT,1.0598100000000272,54,14.066368154052684,-4.853211435354443e-06,True
RIGHT,1.060069999999996,54,13.849982958320819,-4.123517755012972,True
LEFT,1.2200799999999958,62,15.980705015229733,4.8159120230856525,True
STRAIGHT,1.2198399999999765,62,15.984488511614167,7.081584373347383e-07,True
RIGHT,1.160220000000038,59,15.341043603559465,-4.612773709310473,True
LEFT,1.13969000000003,58,15.127775684938085,4.501851775584764,True
STRAIGHT,1.0601399999999899,54,14.279603823944216,-1.5249517320015116e-06,True
RIGHT,1.259710000000041,64,16.832411283491467,-5.067080165263244,True
LEFT,1.2001200000000267,61,15.766330571363168,4.781066379147616,True
STRAIGHT,1.1399900000000116,58,15.131913423547454,1.8359962122294071e-06,True
RIGHT,1.2799699999999916,65,17.045847325463786,-5.1253902067807715,True
LEFT,1.199510000000032,61,15.76724828029653,4.7810147116984805,True
STRAIGHT,2.5799199999999587,130,34.31428191651816,-2.778194164929082e-06,True
RIGHT,3.080229999999972,155,40.697393129520755,-12.929857010973702,True
LEFT,3.8202400000000125,192,50.709572070715616,16.227594519843056,True
STRAIGHT,2.8601899999999887,144,37.93709626439894,5.476118722924639e-07,True
RIGHT,3.139629999999954,158,41.97544409004064,-13.304339667685026,True
LEFT,3.1402500000000373,158,41.76196849336003,13.226365412099641,True
STRAIGHT,2.6202900000000113,132,34.73972896567153,-1.704254605439104e-06,True
RIGHT,3.5602399999999648,179,47.301737734036074,-15.096488817653633,True
LEFT,4.199829999999963,211,55.82514255234351,17.867832643807517,True
STRAIGHT,3.000120000000038,151,39.85430543363479,3.6569800031249766e-06,True
RIGHT,3.199610000000007,161,42.61464342325107,-13.547251549996757,True
LEFT,3.139949999999999,158,41.9745190317251,13.286229187802727,True
STRAIGHT,2.4803400000000124,125,33.033807128080966,1.2820318626705074e-06,True
RIGHT,4.0001100000000065,201,53.26833058669562,-17.041765251447845,True
LEFT,3.2403900000000476,163,43.252684319682366,13.738238017252907,True
STRAIGHT,2.5798699999999712,130,34.31340797160632,1.509903313490213e-14,True
RIGHT,3.0400700000000143,153,40.27043075559064,-12.790051090974725,True
LEFT,3.16019,159,41.97518668536787,13.331037460255484,True
STRAIGHT,2.6999000000000137,136,35.80543218249152,-1.4652847424301285e-07,True
RIGHT,4.2798799999999915,215,57.10231406856904,-18.31140649251837,True
LEFT,3.67971,185,48.79230980421074,15.564537658231336,True
STRAIGHT,2.619850000000042,132,34.968729896646664,5.268644443334747e-06,True
RIGHT,3.3600299999999947,169,44.958187320510774,-14.29269824883941,True
LEFT,3.3199699999999552,167,44.106186466890605,14.02901116349831,True
STRAIGHT,2.9598399999999856,149,39.00274373170743,2.0685093879702077e-06,True
RIGHT,3.760340000000042,189,50.07219822480488,-15.960126419285189,True
LEFT,4.480079999999987,225,59.87255238229146,19.14912379425682,True
STRAIGHT,3.2797299999999723,165,43.689451177184395,-2.0183226512315855e-06,True
RIGHT,3.53992999999997,178,47.089203474968144,-14.991645133825664,True
LEFT,3.640039999999999,183,48.584716452899976,15.494720775087812,True
