elapsed_s,player_x,player_z,forward,left,right,jump,focused
7.84053,253.00000,86.00000,0,0,0,0,0
7.86029,253.00000,86.00000,0,0,0,0,0
7.88043,253.00000,86.00000,0,0,0,0,0
7.90023,253.00000,86.00000,0,0,0,0,0
7.92043,253.00000,86.00000,0,0,0,0,0
7.94012,253.00000,86.00000,0,0,0,0,0
7.96041,253.00000,86.00000,0,0,0,0,0
7.98019,253.00000,86.00000,0,0,0,0,0
8.00031,253.00000,86.00000,0,0,0,0,0
8.02014,253.00000,86.00000,0,0,0,0,0
8.04027,253.00000,86.00000,0,0,0,0,0
8.06011,253.00000,86.00000,0,0,0,0,0
8.08026,253.00000,86.00000,0,0,0,0,0
8.10053,253.00000,86.00000,0,0,0,0,0
8.12049,253.00000,86.00000,0,0,0,0,0
8.14015,253.00000,86.00000,0,0,0,0,0
8.16028,253.00000,86.00000,0,0,0,0,0
8.18037,253.00000,86.00000,0,0,0,0,0
8.20013,253.00000,86.00000,0,0,0,0,0
8.22031,253.00000,86.00000,0,0,0,0,0
8.24048,253.00000,86.00000,0,0,0,0,0
8.26029,253.00000,86.00000,0,0,0,0,0
8.28033,253.00000,86.00000,0,0,0,0,0
8.30026,253.00000,86.00000,0,0,0,0,0
8.32047,253.00000,86.00000,0,0,0,0,0
8.34053,253.00000,86.00000,0,0,0,0,0
8.36037,253.00000,86.00000,0,0,0,0,0
8.38008,253.00000,86.00000,0,0,0,0,0
8.40038,253.00000,86.00000,0,0,0,0,0
8.42050,253.00000,86.00000,0,0,0,0,0
8.44008,253.00000,86.00000,0,0,0,0,0
8.46013,253.00000,86.00000,0,0,0,0,0
8.48029,253.00000,86.00000,0,0,0,0,1
8.50034,253.00000,86.00000,0,0,0,0,1
8.52024,253.00000,86.00000,0,0,0,0,1
8.54024,253.00000,86.00000,0,0,0,0,1
8.56025,253.00000,86.00000,0,0,0,0,1
8.58025,253.00000,86.00000,0,0,0,0,1
8.60026,253.00000,86.00000,0,0,0,0,1
8.62021,253.00000,86.00000,0,0,0,0,1
8.64016,253.00000,86.00000,0,0,0,0,1
8.66027,253.00000,86.00000,0,0,0,0,1
