action,duration_s,distance_cells,heading_change_radians,focused_all,pre_speed_cells_per_sec,post_speed_early_cells_per_sec,post_heading_settle_radians
LEFT,0.48004000000000246,6.342408565072471,1.6053024685623418,True,13.842113086909082,13.848486542353939,0.0
RIGHT,0.44010000000000105,6.12341752048416,-1.5376200911033253,True,13.679462519072867,13.847325988486586,-0.011643893637210578
LEFT,0.4198499999999967,5.686169739148037,1.3610265036524678,True,13.118584415246582,14.344064840442648,3.932337944823061e-06
RIGHT,0.33991000000000327,4.592692280152665,-1.0134354512771822,True,13.841513924904307,13.005004506012,-0.011642249155305873
LEFT,0.4399800000000056,5.904942111186485,1.4657270482588847,True,13.685632730999595,13.66750794332584,0.01162612785315753
RIGHT,0.3803400000000039,5.248632349711498,-1.2580622017350906,True,13.848088917304743,13.84724895440587,-0.011641496345244862
LEFT,0.47997000000000867,6.560940357923256,1.6635421501723975,True,13.850477574606499,13.681760983722466,0.00996402680873798
RIGHT,0.4799900000000008,6.560917939647763,-1.6308797026250665,True,13.118073961862313,13.669203986322842,1.226796442210798e-14
LEFT,0.5400499999999937,7.435403711261268,1.954304849347368,True,13.84434203668402,13.854237525233312,0.011625263313866263
RIGHT,1.7999700000000018,24.49343525465346,-7.408452426266299,True,13.114821356838535,13.845213649453374,-0.009980386657896467
LEFT,1.9995499999999993,27.118588525713967,8.235942415727012,True,14.353089979828384,13.467183871518142,0.009976303271280074
RIGHT,1.9997199999999964,27.55506891159906,-8.307152477530982,True,,13.854031370461486,5.994224191452346e-06
LEFT,2.280290000000008,31.05502282943233,9.49226967759379,True,13.854031370461486,13.677568449050028,-3.8399744798356394e-06
RIGHT,2.0399400000000014,27.993021372698788,-8.446814232950732,True,13.849718287209141,,
LEFT,2.440230000000014,33.45994755922553,10.248449318038901,True,,14.069880963845963,0.009966038383121045
RIGHT,2.0602300000000184,27.993378299201066,-8.526735214860286,True,,14.34421694215132,-0.009982576512242103
LEFT,1.5199599999999975,20.776194503623326,6.167044448892649,True,13.675613115801767,14.348493180157504,0.01170574638803168
RIGHT,1.9000500000000216,25.586711558621936,-7.792881080173832,True,13.00439852941544,13.849933784979962,-0.009982175771223734
LEFT,1.9598700000000235,26.68109421431215,8.061456123952711,True,13.664061258382247,13.852328660427943,-2.144952839122638e-06
RIGHT,1.7803100000000143,24.275355318548925,-7.326879904407576,True,14.345167662074934,13.919064669526612,2.4481544169674407e-06
LEFT,1.8197600000000023,24.931415952688035,7.503085449138899,True,,13.667530472739458,0.01163097244957334
RIGHT,1.9596699999999885,26.89960090142709,-8.130622803380191,True,13.663666413437994,12.76760052687204,6.661338147750939e-15
LEFT,1.5597199999999987,21.212898439368626,6.351441201469026,True,,14.573451689077247,0.009969100824252841
RIGHT,2.1999600000000044,30.17983197419926,-9.19069845044746,True,,13.679004781136808,-0.011645055226017165
LEFT,1.6797799999999938,22.96318150368553,6.909826003655103,True,13.84432175608152,13.120503566826944,6.595065533687716e-07
RIGHT,1.7199099999999987,23.400632349908186,-7.059007043640425,True,13.850347680969682,13.853779976216087,-0.011639018793886957
