action,tick,pulse_id,window_index,distance_cells,heading_change_radians
LEFT,2,movement_calibration_steering.csv:5898,2,2.8410915889159014,0.909289083934176
LEFT,3,movement_calibration_steering.csv:5898,3,2.6281297449101437,0.8365973092251311
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5898,0,2.841453748580801,
RIGHT,1,movement_calibration_steering.csv:5953,1,2.6184050026227244,-0.7681384125891972
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5953,0,2.8415818600981204,
LEFT,1,movement_calibration_steering.csv:5992,1,2.6235875038941945,0.7540460620493271
LEFT,2,movement_calibration_steering.csv:5992,2,2.8450171079809463,0.9078580079661474
STRAIGHT,pre-pulse,movement_calibration_steering.csv:5992,0,2.6260050806068227,
RIGHT,1,movement_calibration_steering.csv:6036,1,2.6322440291686715,-0.8311403673921964
RIGHT,2,movement_calibration_steering.csv:6036,2,2.8408069554002,-0.8745180277469793
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6036,0,2.846855136326766,
LEFT,1,movement_calibration_steering.csv:6084,1,2.8429508197143116,0.8535349730047862
LEFT,2,movement_calibration_steering.csv:6084,2,2.626006642409605,0.8377865210123346
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6084,0,2.6243577339910584,
RIGHT,1,movement_calibration_steering.csv:6132,1,2.625019747871938,-0.7973846361723296
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6132,0,2.8413377624951863,
LEFT,1,movement_calibration_steering.csv:6173,1,2.6211113753390545,0.7878655505806148
LEFT,2,movement_calibration_steering.csv:6173,2,2.8456518850217862,0.8729391123693779
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6173,0,2.6303790488973537,
RIGHT,1,movement_calibration_steering.csv:6235,1,2.8376841341110914,-0.819728643186667
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6235,0,2.8412983187602547,
LEFT,1,movement_calibration_steering.csv:6276,1,2.8393125196867595,0.821922002009928
LEFT,2,movement_calibration_steering.csv:6276,2,2.626940473275651,0.8388986965828484
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6276,0,2.6248949786718594,
RIGHT,1,movement_calibration_steering.csv:6320,1,2.622644616402814,-0.7340401361389162
RIGHT,2,movement_calibration_steering.csv:6320,2,2.6234965725752555,-0.840186176789302
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6320,0,2.623894748198033,
LEFT,1,movement_calibration_steering.csv:6367,1,2.844347422935345,0.7942812395603729
LEFT,2,movement_calibration_steering.csv:6367,2,2.6226193115587098,0.9086355554188401
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6367,0,2.843485546386109,
RIGHT,1,movement_calibration_steering.csv:6856,1,2.618210886614465,-0.7542703401167148
RIGHT,2,movement_calibration_steering.csv:6856,2,2.8463423476232386,-0.9089944793032148
RIGHT,3,movement_calibration_steering.csv:6856,3,2.6187463877188732,-0.8718178096814437
RIGHT,4,movement_calibration_steering.csv:6856,4,2.8450972414608877,-0.8745994719276231
RIGHT,5,movement_calibration_steering.csv:6856,5,2.626000891679899,-0.8395903952664447
RIGHT,steady,movement_calibration_steering.csv:6856,6,2.8469180361033968,-0.9087229353780701
RIGHT,steady,movement_calibration_steering.csv:6856,7,2.6177732173763384,-0.8381130619847124
RIGHT,steady,movement_calibration_steering.csv:6856,8,2.8492049553935694,-0.9089622853049821
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6856,0,2.8391257914435766,
LEFT,1,movement_calibration_steering.csv:6966,1,2.844949127589921,0.7954062433358096
LEFT,2,movement_calibration_steering.csv:6966,2,2.623361088094417,0.8378872454739348
LEFT,3,movement_calibration_steering.csv:6966,3,2.6266574263703557,0.9082188200721628
LEFT,4,movement_calibration_steering.csv:6966,4,2.626644594309684,0.837148024065673
LEFT,5,movement_calibration_steering.csv:6966,5,2.8445179201583684,0.9072147924356981
LEFT,steady,movement_calibration_steering.csv:6966,6,2.6248157592791648,0.8375678425555186
LEFT,steady,movement_calibration_steering.csv:6966,7,2.845458388672782,0.9074252230976168
LEFT,steady,movement_calibration_steering.csv:6966,8,2.6199597696757313,0.8729597738382839
LEFT,steady,movement_calibration_steering.csv:6966,9,2.8371100545084995,0.8710349614063091
STRAIGHT,pre-pulse,movement_calibration_steering.csv:6966,0,2.843389175398221,
RIGHT,1,movement_calibration_steering.csv:7081,1,2.8516426579390135,-0.8254873031335068
RIGHT,2,movement_calibration_steering.csv:7081,2,2.6225281793239783,-0.8395638261282272
RIGHT,3,movement_calibration_steering.csv:7081,3,2.8439123019616854,-0.9078561578361874
RIGHT,4,movement_calibration_steering.csv:7081,4,2.837666759007448,-0.8384697869888527
RIGHT,5,movement_calibration_steering.csv:7081,5,2.6227251961415248,-0.9090615910446589
RIGHT,steady,movement_calibration_steering.csv:7081,6,2.628109068099133,-0.8386176455740655
RIGHT,steady,movement_calibration_steering.csv:7081,7,2.84424492886779,-0.9079129458433481
RIGHT,steady,movement_calibration_steering.csv:7081,8,2.837324845004775,-0.8400325678673068
RIGHT,steady,movement_calibration_steering.csv:7081,9,2.6235800990996903,-0.9082191574930416
STRAIGHT,pre-pulse,movement_calibration_steering.csv:7081,0,2.6249868120126827,
LEFT,1,movement_calibration_steering.csv:7198,1,2.843401987422213,0.8230323010183644
LEFT,2,movement_calibration_steering.csv:7198,2,2.616124396771903,0.8375755580496995
LEFT,3,movement_calibration_steering.csv:7198,3,2.8501863796457365,0.9074562079804291
LEFT,4,movement_calibration_steering.csv:7198,4,2.623114078242091,0.8375591004900667
LEFT,5,movement_calibration_steering.csv:7198,5,2.8420455274871705,0.9079897262597196
LEFT,steady,movement_calibration_steering.csv:7198,6,2.6242765229839646,0.8372356439646618
LEFT,steady,movement_calibration_steering.csv:7198,7,2.839952749910343,0.9072834826108211
LEFT,steady,movement_calibration_steering.csv:7198,8,2.6229328321995427,0.8375238833694487
LEFT,steady,movement_calibration_steering.csv:7198,9,2.84990676195399,0.9073629397782508
LEFT,steady,movement_calibration_steering.csv:7198,10,2.6231718755115687,0.8380864976102753
LEFT,steady,movement_calibration_steering.csv:7198,11,2.8418694627303895,0.9072603509876753
STRAIGHT,pre-pulse,movement_calibration_steering.csv:7198,0,2.8440536454527985,
RIGHT,1,movement_calibration_steering.csv:7339,1,2.84237089919899,-0.7681650708814025
RIGHT,2,movement_calibration_steering.csv:7339,2,2.621004979125621,-0.8731073164284788
RIGHT,3,movement_calibration_steering.csv:7339,3,2.843477521097084,-0.8739493872531381
RIGHT,4,movement_calibration_steering.csv:7339,4,2.626543218685493,-0.8733898507268179
RIGHT,5,movement_calibration_steering.csv:7339,5,2.840864374305417,-0.8737616326052269
RIGHT,steady,movement_calibration_steering.csv:7339,6,2.624677551648864,-0.8736138488018783
RIGHT,steady,movement_calibration_steering.csv:7339,7,2.8382379415632735,-0.87376102320568
RIGHT,steady,movement_calibration_steering.csv:7339,8,2.6276418958653496,-0.8732151166732365
RIGHT,steady,movement_calibration_steering.csv:7339,9,2.8399232484167327,-0.874214911490304
RIGHT,steady,movement_calibration_steering.csv:7339,10,2.632736525749877,-0.874131639067226
STRAIGHT,pre-pulse,movement_calibration_steering.csv:7339,0,2.62199508022817,
LEFT,1,movement_calibration_steering.csv:7452,1,2.842746144507661,0.8239331303495265
LEFT,2,movement_calibration_steering.csv:7452,2,2.62491318906134,0.8376647583062309
LEFT,3,movement_calibration_steering.csv:7452,3,2.8447990154122498,0.9073825625712235
LEFT,4,movement_calibration_steering.csv:7452,4,2.6250541221586334,0.8378621487261428
LEFT,5,movement_calibration_steering.csv:7452,5,2.844923802961563,0.9063565099728947
LEFT,steady,movement_calibration_steering.csv:7452,6,2.6220703976888258,0.8390264427045295
LEFT,steady,movement_calibration_steering.csv:7452,7,2.841773280084212,0.9067360838892782
LEFT,steady,movement_calibration_steering.csv:7452,8,2.626776615010101,0.8375327903427561
LEFT,steady,movement_calibration_steering.csv:7452,9,2.8430471105974866,0.9069406598977974
LEFT,steady,movement_calibration_steering.csv:7452,10,2.6197820116347117,0.8383044119515635
LEFT,steady,movement_calibration_steering.csv:7452,11,2.8459826499508503,0.90665322647218
LEFT,steady,movement_calibration_steering.csv:7452,12,2.6215394160977636,0.8369200206763896
RIGHT,1,movement_calibration_steering.csv:7590,1,2.836259731582539,-0.7887152715538694
RIGHT,2,movement_calibration_steering.csv:7590,2,2.628153955617439,-0.8744648476243658
RIGHT,3,movement_calibration_steering.csv:7590,3,2.8358523010210255,-0.9086409398565433
RIGHT,4,movement_calibration_steering.csv:7590,4,2.6343754228648777,-0.8380165706271665
RIGHT,5,movement_calibration_steering.csv:7590,5,2.835158650806594,-0.9075313890882235
RIGHT,steady,movement_calibration_steering.csv:7590,6,2.627110739736498,-0.839329652737868
